iter	Passed	Remaining
0	88	88480
1	179	89801
2	263	87685
3	350	87236
4	439	87533
5	527	87409
6	614	87111
7	697	86525
8	778	85672
9	865	85686
10	948	85267
11	1025	84469
12	1104	83863
13	1230	86680
14	1315	86384
15	1394	85788
16	1478	85475
17	1553	84760
18	1638	84576
19	1740	85278
20	1824	85040
21	1908	84834
22	1991	84608
23	2072	84296
24	2154	84012
25	2232	83623
26	2310	83267
27	2394	83124
28	2475	82902
29	2540	82144
30	2614	81716
31	2698	81628
32	2788	81707
33	2867	81481
34	2949	81327
35	3031	81176
36	3113	81036
37	3189	80741
38	3274	80678
39	3343	80249
40	3423	80086
41	3507	80008
42	3590	79901
43	3664	79615
44	3744	79462
45	3788	78579
46	3876	78601
47	3961	78565
48	4055	78700
49	4131	78500
50	4217	78478
51	4296	78331
52	4375	78182
53	4448	77929
54	4532	77878
55	4616	77825
56	4670	77262
57	4756	77248
58	4820	76887
59	4902	76811
60	4983	76719
61	5065	76643
62	5144	76514
63	5220	76353
64	5307	76345
65	5391	76299
66	5475	76242
67	5558	76181
68	5631	75982
69	5700	75738
70	5772	75528
71	5857	75493
72	5936	75391
73	6021	75352
74	6108	75332
75	6202	75406
76	6272	75186
77	6345	75006
78	6426	74919
79	6506	74828
80	6575	74604
81	6641	74348
82	6721	74262
83	6801	74170
84	6888	74157
85	6970	74084
86	7052	74015
87	7136	73961
88	7218	73887
89	7303	73844
90	7383	73749
91	7461	73639
92	7536	73500
93	7612	73366
94	7693	73286
95	7778	73244
96	7867	73237
97	7957	73246
98	8041	73185
99	8124	73119
100	8203	73022
101	8300	73079
102	8401	73167
103	8487	73124
104	8572	73071
105	8641	72878
106	8724	72808
107	8798	72667
108	8884	72627
109	8952	72431
110	9025	72289
111	9111	72244
112	9191	72147
113	9261	71977
114	9342	71898
115	9427	71847
116	9508	71759
117	9591	71691
118	9671	71602
119	9752	71516
120	9836	71458
121	9924	71426
122	10010	71372
123	10087	71263
124	10167	71170
125	10237	71011
126	10320	70941
127	10399	70848
128	10488	70819
129	10586	70845
130	10686	70890
131	10760	70755
132	10849	70725
133	10938	70691
134	11015	70577
135	11105	70555
136	11195	70520
137	11270	70402
138	11347	70286
139	11428	70204
140	11511	70130
141	11591	70040
142	11672	69953
143	11757	69894
144	11840	69815
145	11921	69733
146	11996	69611
147	12081	69551
148	12170	69510
149	12255	69446
150	12337	69367
151	12417	69273
152	12501	69209
153	12588	69153
154	12670	69073
155	12776	69122
156	12867	69092
157	12959	69062
158	13046	69009
159	13134	68956
160	13220	68896
161	13289	68743
162	13351	68557
163	13437	68500
164	13521	68424
165	13603	68344
166	13691	68293
167	13781	68250
168	13855	68131
169	13943	68078
170	14034	68040
171	14122	67984
172	14205	67906
173	14292	67849
174	14383	67810
175	14469	67745
176	14557	67687
177	14641	67616
178	14730	67564
179	14821	67517
180	14913	67480
181	15007	67452
182	15107	67446
183	15192	67375
184	15270	67270
185	15354	67198
186	15439	67126
187	15519	67031
188	15604	66959
189	15684	66866
190	15757	66743
191	15818	66571
192	15900	66486
193	15988	66428
194	16071	66346
195	16157	66277
196	16241	66201
197	16337	66173
198	16421	66097
199	16496	65984
200	16584	65923
201	16658	65807
202	16741	65728
203	16828	65663
204	16888	65493
205	16965	65389
206	17046	65305
207	17131	65231
208	17230	65212
209	17319	65152
210	17411	65107
211	17496	65033
212	17585	64973
213	17659	64861
214	17748	64803
215	17834	64731
216	17911	64630
217	18001	64572
218	18077	64467
219	18157	64375
220	18232	64269
221	18313	64178
222	18394	64091
223	18478	64015
224	18544	63874
225	18626	63791
226	18710	63715
227	18783	63600
228	18872	63539
229	18951	63445
230	19036	63371
231	19120	63294
232	19210	63236
233	19278	63107
234	19380	63089
235	19463	63008
236	19541	62913
237	19626	62838
238	19711	62762
239	19781	62642
240	19866	62567
241	19947	62479
242	20012	62342
243	20088	62242
244	20178	62184
245	20256	62087
246	20339	62007
247	20421	61924
248	20496	61818
249	20574	61722
250	20667	61673
251	20752	61597
252	20824	61485
253	20914	61427
254	21004	61365
255	21069	61233
256	21152	61151
257	21235	61073
258	21325	61012
259	21414	60948
260	21508	60899
261	21601	60846
262	21682	60760
263	21765	60680
264	21852	60608
265	21940	60543
266	22022	60458
267	22100	60363
268	22185	60287
269	22268	60208
270	22342	60100
271	22432	60039
272	22520	59971
273	22610	59909
274	22700	59847
275	22785	59771
276	22866	59684
277	22957	59623
278	23044	59551
279	23123	59460
280	23182	59318
281	23252	59203
282	23332	59114
283	23422	59051
284	23504	58966
285	23592	58897
286	23683	58838
287	23776	58780
288	23880	58750
289	23969	58683
290	24049	58593
291	24123	58491
292	24207	58412
293	24281	58307
294	24341	58172
295	24421	58083
296	24502	57997
297	24595	57939
298	24681	57865
299	24755	57762
300	24839	57683
301	24927	57613
302	25013	57538
