iter	Passed	Remaining
0	90	90199
1	182	91180
2	272	90654
3	357	88948
4	449	89546
5	538	89226
6	644	91471
7	737	91431
8	826	91040
9	910	90103
10	990	89099
11	1068	88010
12	1144	86878
13	1275	89860
14	1368	89854
15	1452	89352
16	1529	88420
17	1612	87993
18	1696	87601
19	1777	87078
20	1867	87068
21	1948	86613
22	2022	85891
23	2106	85660
24	2189	85407
25	2264	84844
26	2335	84172
27	2410	83668
28	2491	83428
29	2570	83128
30	2644	82669
31	2729	82558
32	2831	82958
33	2921	83000
34	3005	82865
35	3090	82754
36	3170	82528
37	3257	82461
38	3349	82525
39	3392	81422
40	3475	81283
41	3548	80947
42	3631	80832
43	3718	80795
44	3800	80646
45	3885	80585
46	3958	80265
47	4045	80228
48	4119	79942
49	4183	79486
50	4262	79315
51	4340	79131
52	4416	78917
53	4475	78405
54	4560	78353
55	4637	78168
56	4721	78106
57	4787	77756
58	4857	77480
59	4932	77279
60	5032	77468
61	5123	77513
62	5208	77463
63	5287	77335
64	5371	77269
65	5456	77214
66	5534	77074
67	5624	77087
68	5707	77004
69	5788	76902
70	5863	76723
71	5951	76705
72	6039	76699
73	6117	76555
74	6192	76378
75	6279	76351
76	6358	76220
77	6433	76046
78	6509	75886
79	6596	75863
80	6673	75714
81	6746	75531
82	6828	75443
83	6916	75420
84	7003	75387
85	7079	75236
86	7153	75069
87	7240	75042
88	7334	75077
89	7413	74955
90	7504	74958
91	7598	74990
92	7691	75015
93	7773	74921
94	7851	74797
95	7911	74496
96	7996	74443
97	8077	74342
98	8156	74228
99	8244	74198
100	8323	74089
101	8410	74049
102	8494	73973
103	8583	73946
104	8658	73800
105	8740	73715
106	8829	73685
107	8904	73545
108	8991	73495
109	9069	73381
110	9151	73294
111	9234	73218
112	9317	73137
113	9400	73060
114	9496	73079
115	9584	73043
116	9675	73022
117	9760	72955
118	9848	72908
119	9922	72767
120	9997	72626
121	10081	72556
122	10154	72404
123	10234	72301
124	10319	72233
125	10401	72153
126	10481	72051
127	10566	71982
128	10641	71853
129	10729	71807
130	10814	71738
131	10900	71677
132	10985	71610
133	11070	71547
134	11154	71474
135	11236	71387
136	11326	71345
137	11403	71228
138	11488	71163
139	11570	71074
140	11661	71047
141	11752	71012
142	11848	71008
143	11930	70917
144	12015	70849
145	12091	70727
146	12176	70658
147	12237	70448
148	12320	70368
149	12392	70222
150	12466	70093
151	12546	69994
152	12619	69862
153	12706	69804
154	12783	69691
155	12863	69596
156	12951	69542
157	13028	69431
158	13101	69300
159	13188	69239
160	13274	69177
161	13352	69068
162	13432	68973
163	13516	68903
164	13603	68840
165	13689	68777
166	13772	68699
167	13877	68725
168	13965	68669
169	14059	68641
170	14146	68582
171	14228	68494
172	14311	68415
173	14397	68346
174	14484	68285
175	14566	68198
176	14652	68131
177	14738	68059
178	14821	67979
179	14903	67894
180	14991	67835
181	15078	67770
182	15165	67705
183	15260	67675
184	15345	67602
185	15420	67484
186	15484	67319
187	15562	67215
188	15644	67129
189	15710	66978
190	15796	66908
191	15882	66837
192	15961	66741
193	16048	66673
194	16158	66704
195	16256	66684
196	16348	66639
197	16439	66588
198	16517	66486
199	16601	66407
200	16676	66291
201	16762	66220
202	16846	66141
203	16920	66023
204	16992	65897
205	17073	65808
206	17159	65736
207	17246	65668
208	17339	65623
209	17406	65481
210	17485	65385
211	17564	65286
212	17639	65175
213	17721	65087
214	17806	65014
215	17893	64946
216	17978	64869
217	18048	64741
218	18122	64627
219	18209	64561
220	18296	64492
221	18394	64462
222	18476	64379
223	18553	64273
224	18628	64166
225	18714	64091
226	18792	63993
227	18875	63911
228	18955	63818
229	19042	63752
230	19127	63674
231	19222	63631
232	19304	63546
233	19374	63423
234	19461	63353
235	19544	63269
236	19636	63217
237	19719	63135
238	19807	63070
239	19894	63000
240	19983	62936
241	20068	62859
242	20147	62762
243	20239	62709
244	20322	62626
245	20408	62551
246	20493	62477
247	20594	62447
248	20684	62385
249	20767	62303
250	20856	62236
251	20940	62157
252	21026	62081
253	21100	61971
254	21187	61901
255	21277	61838
256	21358	61749
257	21451	61694
258	21536	61614
259	21626	61551
260	21719	61497
261	21813	61442
262	21899	61367
263	21979	61275
264	22063	61196
265	22147	61115
266	22229	61026
267	22315	60952
268	22404	60882
269	22484	60791
270	22563	60696
271	22643	60605
272	22733	60538
273	22840	60520
274	22938	60474
275	23024	60398
276	23115	60334
277	23209	60278
278	23302	60217
279	23385	60134
280	23472	60059
281	23550	59961
282	23627	59863
283	23712	59781
284	23798	59705
285	23869	59590
286	23949	59498
287	24038	59429
288	24124	59350
289	24208	59269
290	24284	59167
291	24372	59096
292	24459	59019
293	24546	58943
294	24631	58865
295	24709	58769
296	24794	58688
297	24877	58602
298	24961	58522
299	25071	58499
300	25162	58434
301	25242	58341
302	25329	58265
303	25409	58174
304	25496	58099
305	25577	58009
306	25657	57917
307	25740	57831
308	25828	57759
309	25913	57677
310	25997	57596
311	26081	57512
312	26166	57433
313	26252	57353
314	26341	57283
315	26422	57193
316	26497	57091
317	26578	57001
318	26668	56930
319	26734	56811
320	26826	56745
321	26919	56681
322	27003	56598
323	27084	56509
324	27172	56434
325	27272	56386
326	27364	56318
327	27447	56234
328	27534	56156
329	27610	56057
330	27695	55977
331	27807	55950
332	27891	55866
333	27972	55776
334	28044	55671
335	28118	55566
336	28196	55473
337	28278	55385
338	28350	55279
339	28436	55200
340	28523	55123
341	28603	55033
342	28684	54944
343	28762	54850
344	28838	54751
345	28922	54668
346	28985	54545
347	29069	54464
348	29163	54400
349	29235	54294
350	29309	54193
351	29414	54149
352	29520	54107
353	29605	54026
354	29685	53935
355	29773	53860
356	29857	53776
357	29940	53691
358	30024	53608
359	30114	53537
360	30204	53463
361	30268	53346
362	30358	53272
363	30438	53183
364	30516	53090
365	30601	53009
366	30674	52907
367	30751	52812
368	30835	52729
369	30926	52658
370	31011	52577
371	31103	52507
372	31182	52417
373	31249	52306
374	31331	52219
375	31407	52122
376	31469	52003
377	31562	51935
378	31668	51889
379	31764	51826
380	31846	51739
381	31936	51666
382	32019	51582
383	32090	51478
384	32165	51380
385	32247	51295
386	32330	51210
387	32414	51127
388	32498	51045
389	32584	50965
390	32679	50899
391	32766	50820
392	32849	50737
393	32921	50635
394	32999	50542
395	33085	50464
396	33180	50397
397	33259	50306
398	33339	50217
399	33426	50139
400	33513	50061
401	33592	49971
402	33682	49896
403	33769	49818
404	33879	49772
405	33980	49714
406	34066	49635
407	34154	49556
408	34236	49471
409	34320	49388
410	34411	49314
411	34500	49238
412	34587	49159
413	34665	49067
414	34754	48991
415	34836	48905
416	34906	48802
417	34981	48705
418	35071	48630
419	35163	48558
420	35246	48474
421	35331	48392
422	35410	48301
423	35490	48212
424	35575	48131
425	35658	48047
426	35744	47965
427	35833	47890
428	35918	47807
429	36025	47754
430	36120	47686
431	36218	47621
432	36298	47531
433	36384	47451
434	36465	47362
435	36550	47281
436	36631	47193
437	36719	47114
438	36804	47032
439	36872	46928
440	36955	46843
441	37033	46752
442	37107	46657
443	37182	46562
444	37275	46489
445	37348	46392
446	37417	46291
447	37488	46191
448	37571	46106
449	37652	46019
450	37730	45929
451	37815	45846
452	37903	45768
453	37977	45672
454	38066	45596
455	38151	45513
456	38247	45444
457	38352	45386
458	38442	45310
459	38517	45216
460	38607	45139
461	38695	45061
462	38780	44978
463	38861	44891
464	38949	44813
465	39032	44728
466	39111	44638
467	39200	44561
468	39288	44482
