iter	Logloss
0	0.461333874
1	0.3367221759
2	0.2733649401
3	0.2392803492
4	0.2159110922
5	0.2033457834
6	0.1926120147
7	0.1850546795
8	0.1806462874
9	0.1763318374
10	0.1737403544
11	0.1710700903
12	0.1680043698
13	0.1656190515
14	0.1644308424
15	0.1632994906
16	0.1622004521
17	0.1607506382
18	0.1598641902
19	0.1592076765
20	0.1582716977
21	0.1575238702
22	0.1571121973
23	0.1566257395
24	0.1562105166
25	0.1558054899
26	0.1555408583
27	0.1549819112
28	0.1546539249
29	0.1543643368
30	0.154100125
31	0.1537221021
32	0.1531208036
33	0.1528649477
34	0.1526973046
35	0.1524778486
36	0.1521911609
37	0.1520781746
38	0.1518786414
39	0.1517313931
40	0.1515786819
41	0.1513233406
42	0.1511406079
43	0.1509902931
44	0.1509141152
45	0.1508204126
46	0.1507253712
47	0.1507227142
48	0.1505596535
49	0.1504341367
50	0.1503874258
51	0.1502370078
52	0.15018294
53	0.1500905855
54	0.1500216993
55	0.1500189657
56	0.1499581795
57	0.1498362404
58	0.1497854673
59	0.149714419
60	0.1496895956
61	0.1496358863
62	0.1495275091
63	0.1494555032
64	0.1493183019
65	0.1492099852
66	0.1491778707
67	0.1491269926
68	0.1490821208
69	0.1489664742
70	0.1489005188
71	0.148794015
72	0.1487222251
73	0.1485722014
74	0.1484914448
75	0.148398274
76	0.1482953754
77	0.1482601865
78	0.1482307042
79	0.1481585958
80	0.1480623377
81	0.1480363772
82	0.1479685849
83	0.1478864685
84	0.1477865279
85	0.1475878998
86	0.1475483111
87	0.1474690808
88	0.1473853142
89	0.1473076873
90	0.1472179344
91	0.1471393426
92	0.1471143231
93	0.1470348554
94	0.1470323675
95	0.1470150946
96	0.1469543046
97	0.1469280686
98	0.146848779
99	0.1467873054
100	0.1466879528
101	0.1466220794
102	0.1465716004
103	0.1465414019
104	0.146429957
105	0.146372084
106	0.1463195394
107	0.1463161424
108	0.1462670978
109	0.1462290353
110	0.1461581655
111	0.1461551793
112	0.1461063242
113	0.1460729402
114	0.1460190633
115	0.1460140004
116	0.1459004234
117	0.1458163889
118	0.1457323769
119	0.1456416403
120	0.1456378301
121	0.1456243037
122	0.1455659575
123	0.1455338718
124	0.1455107279
125	0.145413774
126	0.1453690596
127	0.145341793
128	0.1453055673
129	0.1452381795
130	0.1452255174
131	0.1452129746
132	0.1451722911
133	0.145138961
134	0.1450891598
135	0.1450055856
136	0.1449418595
137	0.1448785916
138	0.1447952506
139	0.144769102
140	0.1447377956
141	0.1446836639
142	0.1445423224
143	0.144444579
144	0.1444308864
145	0.1444121235
146	0.1444041203
147	0.1442955974
148	0.1442383924
149	0.1442005125
150	0.1441751734
151	0.1441696146
152	0.144154294
153	0.1441046539
154	0.1440801788
155	0.1440351654
156	0.143972786
157	0.143908041
158	0.14383751
159	0.1438089929
160	0.1437714989
161	0.1437213647
162	0.1436856545
163	0.1436104495
164	0.1435856702
165	0.1435312701
166	0.1435138887
167	0.1435076532
168	0.1434924421
169	0.1434267759
170	0.1433957195
171	0.1433860556
172	0.1433641398
173	0.1433120687
174	0.1432421546
175	0.1432261241
176	0.1432207898
177	0.1431865334
178	0.1431478287
179	0.143108737
180	0.1430648019
181	0.1430289172
182	0.142998755
183	0.1429916124
184	0.1429807173
185	0.1429701714
186	0.1429061151
187	0.1428809137
188	0.1427988186
189	0.1427616129
190	0.142751241
191	0.1426907479
192	0.1426255096
193	0.1426021222
194	0.1425575045
195	0.142523863
196	0.142506776
197	0.1424866763
198	0.1424589818
199	0.142449318
200	0.1424470713
201	0.1424083294
202	0.1423775743
203	0.142372347
204	0.1423478349
205	0.1422604867
206	0.1422147406
207	0.1421930837
208	0.1421469767
209	0.1421266939
210	0.1420540012
211	0.1419835461
212	0.1419259761
213	0.1418999489
214	0.1418988524
215	0.1418891681
216	0.1418610375
217	0.1418017423
218	0.1417018132
219	0.1416357567
220	0.141634152
221	0.1415856194
222	0.1415127035
223	0.1414897942
224	0.1414776843
225	0.1414459358
226	0.1413622584
227	0.1412797053
228	0.1412306212
229	0.1412147387
230	0.1411991935
231	0.1411891178
232	0.1410888096
233	0.1410446826
234	0.1410278391
235	0.1409753759
236	0.1409544702
237	0.1408970406
238	0.14084685
239	0.1408430525
240	0.1408358015
241	0.1407592976
242	0.1406845812
243	0.1406686351
244	0.1405922794
245	0.1405557506
246	0.1405429928
247	0.1405159098
248	0.1404883287
249	0.1404236459
250	0.1404187148
251	0.1403484886
252	0.1403118515
253	0.1402866404
254	0.1402128681
255	0.1401808932
256	0.140167723
257	0.1400990226
258	0.1400957236
259	0.1400499117
260	0.1399839436
261	0.1398870225
262	0.1398833005
263	0.1397845183
264	0.1397353626
265	0.1396835627
266	0.1396475001
267	0.139608457
268	0.1395572746
269	0.1395394684
270	0.1394946789
271	0.1394553923
272	0.1394260637
273	0.139424311
274	0.1394130151
275	0.1394033026
276	0.139381336
277	0.1393279497
278	0.139288863
279	0.139280976
280	0.1392713472
281	0.1392264311
282	0.1391954418
283	0.1391465989
284	0.1391014085
285	0.1390690435
286	0.1390347093
287	0.1389898806
288	0.1389019448
289	0.138897871
290	0.1388677951
291	0.1388498357
292	0.1388428159
293	0.1388311755
294	0.1387741768
295	0.1387459598
296	0.1387184425
297	0.1386982714
298	0.1386814484
299	0.138664095
300	0.138602723
301	0.1385506247
302	0.1385016534
303	0.1384825214
304	0.1384537191
305	0.1384228158
306	0.1384153378
307	0.1384026611
308	0.1383948855
309	0.1383790495
310	0.1383280123
311	0.1382724747
312	0.1382249027
313	0.1381835936
314	0.1381605056
315	0.1381341172
316	0.1380536412
317	0.1380459642
318	0.1379762879
319	0.137954258
320	0.1379389402
321	0.1378840093
322	0.1378533261
323	0.1378427111
324	0.1378404835
325	0.1378361546
326	0.1377983364
327	0.1377573816
328	0.1377407272
329	0.137720259
330	0.1376380731
331	0.1376028093
332	0.1375521542
333	0.1375299068
334	0.1375290814
335	0.137511376
336	0.137493079
337	0.1374304292
338	0.1374097983
339	0.1373834671
340	0.1373423395
341	0.1372719737
342	0.1372426895
343	0.1372108846
344	0.1371992883
345	0.1371626524
346	0.1370978401
347	0.1370743805
348	0.1370113393
349	0.1369698673
350	0.1369479359
351	0.136932142
352	0.1368729122
353	0.1368509895
354	0.1367995828
355	0.1367760083
356	0.1367378206
357	0.1367138377
358	0.1366823114
359	0.136611644
360	0.1365901726
361	0.1365440104
362	0.1365019085
363	0.1364428618
364	0.1364014971
365	0.1363663704
366	0.1363487908
367	0.1363188891
368	0.1363016604
369	0.1362650918
370	0.1362348222
371	0.1361962671
372	0.1361841652
373	0.1361666035
374	0.1361054578
375	0.1360810513
376	0.1360438765
377	0.1359992494
378	0.1359658394
379	0.1359497839
380	0.1359145129
381	0.1358795878
382	0.1358674603
383	0.1358438256
384	0.1358278151
385	0.1358116736
386	0.1357527201
387	0.1357095216
388	0.1356956516
389	0.1356730321
390	0.1356624554
391	0.1356261311
392	0.1356203468
393	0.1356107316
394	0.1355859134
395	0.1355809367
396	0.1355493499
397	0.1355467436
398	0.1355115558
