iter	Logloss
0	0.4610125886
1	0.3425231725
2	0.2754150485
3	0.2413534515
4	0.2177260467
5	0.2034389534
6	0.1931448188
7	0.1855842063
8	0.1794804539
9	0.1758662207
10	0.1730044461
11	0.1709796468
12	0.167589395
13	0.1650199696
14	0.1637738156
15	0.1628185051
16	0.160815081
17	0.1597498191
18	0.1586413398
19	0.1578455558
20	0.1572703498
21	0.1566779559
22	0.1562102198
23	0.155762435
24	0.1554212924
25	0.1547509345
26	0.1542063294
27	0.1537396491
28	0.1533529507
29	0.1530273176
30	0.1528557444
31	0.152585935
32	0.1523619193
33	0.1521500703
34	0.151921352
35	0.1517773358
36	0.1514697947
37	0.1514291491
38	0.151192833
39	0.1510676401
40	0.1508747069
41	0.1506767181
42	0.1505226254
43	0.1503119326
44	0.1501468521
45	0.1500713974
46	0.1499318238
47	0.1498015489
48	0.1496608438
49	0.1495086639
50	0.1494356177
51	0.1492851898
52	0.1491705874
53	0.1490524648
54	0.1490207959
55	0.1489309919
56	0.1488532974
57	0.1487704968
58	0.1487696925
59	0.1487317679
60	0.1486631548
61	0.148472142
62	0.1483871827
63	0.1482546689
64	0.148232352
65	0.1481821124
66	0.1481593963
67	0.1480357937
68	0.1479349614
69	0.1478313327
70	0.1477924509
71	0.1476609848
72	0.1476094611
73	0.1475712221
74	0.1474612669
75	0.1474062052
76	0.1473267209
77	0.1473247956
78	0.1472857247
79	0.1472190019
80	0.1471795269
81	0.1470380123
82	0.1469615788
83	0.1467923025
84	0.1467750193
85	0.1466919495
86	0.1466848908
87	0.1466374142
88	0.146554167
89	0.1465290375
90	0.1465109678
91	0.1464654965
92	0.1464280155
93	0.146344685
94	0.1462589587
95	0.146224524
96	0.1461410806
97	0.1460275418
98	0.1459242498
99	0.145920999
100	0.1458951201
101	0.1458880687
102	0.1458584661
103	0.1457732898
104	0.1457594121
105	0.1457160106
106	0.1456572937
107	0.1456386654
108	0.1456320328
109	0.1455209818
110	0.1454805782
111	0.1454102602
112	0.1453663003
113	0.1452995905
114	0.1452514912
115	0.1451565666
116	0.1450861638
117	0.1450390514
118	0.1449417934
119	0.1448841272
120	0.1448365377
121	0.1447848356
122	0.1447696436
123	0.144751187
124	0.1446997486
125	0.1446696276
126	0.1446644972
127	0.144569998
128	0.1445349827
129	0.1444650437
130	0.144391954
131	0.1443648263
132	0.1443194616
133	0.1442434558
134	0.1441907727
135	0.1440912173
136	0.1440029401
137	0.1439694152
138	0.1438826013
139	0.1438289942
140	0.1437536934
141	0.1437063021
142	0.143607933
143	0.1436040483
144	0.1436002056
145	0.1435583511
146	0.1435151682
147	0.1435065283
148	0.1434695509
149	0.1434147601
150	0.1433820258
151	0.1433503518
152	0.1433065182
153	0.1432795667
154	0.1432735246
155	0.1432358658
156	0.1431577069
157	0.1431490239
158	0.1431091249
159	0.1431004064
160	0.1430442731
161	0.1430396381
162	0.1429724422
163	0.1429287323
164	0.1429134644
165	0.1428943381
166	0.1428510961
167	0.1428339589
168	0.1428204367
169	0.1427667931
170	0.1426656586
171	0.1426583349
172	0.1426314167
173	0.1425996766
174	0.1425932596
175	0.1425578307
176	0.1425536109
177	0.1424598354
178	0.1424421401
179	0.1423832732
180	0.1423186074
181	0.1422703968
182	0.1422344906
183	0.1421664038
184	0.1420767009
185	0.1420265977
186	0.1420250567
187	0.1419748464
188	0.1419335805
189	0.1418441389
190	0.1418212796
191	0.1417788791
192	0.1417391827
193	0.1416981093
194	0.1416641623
195	0.1416424798
196	0.1415666664
197	0.1415045098
198	0.1414694386
199	0.1414200908
200	0.1413526595
201	0.1413493347
202	0.1413217949
203	0.1413038265
204	0.1412537806
205	0.1411771501
206	0.1411561846
207	0.1411028775
208	0.1410676255
209	0.1410320561
210	0.1409794963
211	0.1409478917
212	0.1409136012
213	0.1408786367
214	0.1408231686
215	0.1407897108
216	0.1407002261
217	0.1406976444
218	0.1406652752
219	0.1406417993
220	0.1405895709
221	0.1405771155
222	0.140541202
223	0.1405302783
224	0.1404943209
225	0.1404410065
226	0.1403861336
227	0.1403035775
228	0.1402631598
229	0.1401981313
230	0.1401555204
231	0.1401204308
232	0.1400637151
233	0.1400612057
234	0.1400052639
235	0.1399808414
236	0.139979149
237	0.1399168179
238	0.1398543933
239	0.1398469744
240	0.1398286548
241	0.1398020569
242	0.1397392769
243	0.1396815342
244	0.1396178262
245	0.1395843941
246	0.1395693869
247	0.1395633734
248	0.1395202574
249	0.1394711723
250	0.1394439644
251	0.1394260165
252	0.1393725757
253	0.1393579742
254	0.1393306127
255	0.1392707373
256	0.139244781
257	0.1392027791
258	0.1391391753
259	0.1390898139
260	0.1390814977
261	0.1390657043
262	0.1390455304
263	0.1390441357
264	0.1390245228
265	0.1389590149
266	0.1388953615
267	0.1388726865
268	0.1388514911
269	0.1388168389
270	0.1387672156
271	0.1386720543
272	0.1386209183
273	0.1385602701
274	0.1385560076
275	0.138554821
276	0.1385262297
277	0.1385201376
278	0.138470033
279	0.1384588947
280	0.138435967
281	0.1384217552
282	0.1384056651
283	0.1383674045
284	0.1383271714
285	0.1382900213
286	0.1382678744
287	0.1382592486
288	0.1382429911
289	0.1381948948
290	0.1381591226
291	0.1381527216
292	0.1381440181
293	0.1381153193
294	0.138082841
295	0.1380290075
296	0.1379575953
297	0.1379127235
298	0.1378354721
299	0.1377619359
300	0.1377269113
301	0.1376908374
302	0.1376455279
303	0.1376325154
304	0.1375780146
305	0.1375551793
306	0.1375127489
307	0.1374739637
308	0.1374270764
309	0.1373677946
310	0.1373026297
311	0.1372751918
312	0.1371862934
313	0.1371534865
314	0.1371037188
315	0.1370689537
316	0.1370551958
317	0.1370296257
318	0.1369923392
319	0.1369234195
320	0.1368920986
321	0.1368652171
322	0.1368113362
323	0.1367759026
324	0.1367363647
325	0.1367083291
326	0.136702404
327	0.136686713
328	0.1366311068
329	0.136581745
330	0.136529584
331	0.136468812
332	0.136395146
333	0.1363765551
334	0.1363574975
335	0.1363144605
336	0.1362622222
337	0.1362018871
338	0.1361927135
339	0.1361906464
340	0.1361505548
341	0.1361187153
342	0.1361151724
343	0.1360804516
344	0.1360450664
345	0.1360298103
346	0.1360091252
347	0.1360072186
348	0.1359508231
349	0.1358994423
350	0.1358652242
351	0.135855667
352	0.1357969423
353	0.1357395158
354	0.1357238187
355	0.1357039994
356	0.1356416269
357	0.1356300768
358	0.1356046403
359	0.1355767029
360	0.1355431494
361	0.1355200467
362	0.1354984644
363	0.135475843
364	0.1354433186
365	0.1353950181
366	0.1353520043
367	0.1352981657
368	0.1352802615
369	0.1352664257
370	0.1352507021
371	0.1352452638
372	0.1351906185
373	0.1351631433
374	0.1351290153
375	0.13505244
376	0.1350290919
377	0.1349546894
378	0.1349277262
379	0.1348837495
380	0.1348373851
381	0.1347946605
382	0.1347680031
383	0.1347471452
384	0.134700645
385	0.1346732006
386	0.1346635347
387	0.1346313095
388	0.1346036912
389	0.1345769873
390	0.1345387438
391	0.1345322064
392	0.1345046105
393	0.1344927306
394	0.1344805605
395	0.1344132268
396	0.1343672914
397	0.1343446968
398	0.1343302132
399	0.1343064229
400	0.1342751961
401	0.1342443367
402	0.1342431994
403	0.1342021799
404	0.1341456191
405	0.1340936255
406	0.1340633143
407	0.134023085
408	0.1340104243
409	0.1339763545
410	0.1339748102
411	0.1339642275
412	0.1339494552
413	0.1339043797
414	0.1338654187
415	0.1338501851
416	0.1338351109
417	0.133831724
418	0.1338152485
419	0.1337757158
420	0.1337377176
421	0.1336819606
422	0.133640899
423	0.133599436
424	0.1335797597
425	0.1335179348
426	0.1334946053
427	0.1334310273
428	0.1333997187
429	0.1333733835
430	0.1333489764
431	0.1333062921
432	0.1332827434
433	0.133281816
434	0.1332516245
435	0.1332111366
436	0.1332019473
437	0.1331750599
438	0.1331340036
439	0.1331271319
440	0.133050686
441	0.1330462626
442	0.1330395509
443	0.13298784
444	0.1329805637
445	0.1329672605
446	0.1329414956
447	0.132923692
448	0.132880548
449	0.1328731377
450	0.1327979776
451	0.1327898022
452	0.1327574263
453	0.1327388375
454	0.1327077809
455	0.1326505336
456	0.1325932067
457	0.1325477926
458	0.1325059899
459	0.1324942029
460	0.1324920075
461	0.1324543384
462	0.1324522151
463	0.1324071203
464	0.1323832948
465	0.1323633084
466	0.1323528156
467	0.1323340458
468	0.1323136436
469	0.1322858246
470	0.1322857088
471	0.1322446348
472	0.1322235183
473	0.132209021
474	0.1321746213
475	0.1321400687
476	0.1320855688
477	0.1320446428
478	0.1320191623
479	0.1320095097
480	0.1320000756
481	0.1319760038
482	0.131956444
483	0.1319253543
484	0.1319032239
485	0.1319027324
486	0.1318968034
487	0.1318911001
488	0.131865386
489	0.1318496193
490	0.1318141347
491	0.1317528477
492	0.1317184587
493	0.1317088208
494	0.1316762239
495	0.1316762178
496	0.1316358152
497	0.1316191231
498	0.131566319
499	0.1315543953
500	0.131514751
501	0.131508837
502	0.1314662976
503	0.1314488517
504	0.1314427079
505	0.1314039015
506	0.1313737807
507	0.131322182
508	0.1313064711
509	0.1312510152
510	0.1311969591
511	0.1311959013
512	0.1311737845
513	0.1311614646
514	0.13111875
515	0.131084333
516	0.1310522538
517	0.1310107305
518	0.1310069348
519	0.1309958724
520	0.130935501
521	0.130915607
522	0.130887184
523	0.1308741111
524	0.1308479388
525	0.1308380835
526	0.1308062916
527	0.1307789036
528	0.1307774108
529	0.1307618469
530	0.1307276509
531	0.1307167458
532	0.1307070142
533	0.1307024902
534	0.1306944557
535	0.1306604463
536	0.1306521847
537	0.1306159735
538	0.1305281673
539	0.1305030082
540	0.1304762349
541	0.1304380678
542	0.1303835924
543	0.1303461776
544	0.1303014857
545	0.1302601808
546	0.1302204228
547	0.130215632
548	0.1301782179
549	0.1301441053
550	0.1301259868
551	0.1301143939
552	0.1300534864
553	0.1300512451
554	0.1300196791
555	0.1300001938
556	0.1299575666
557	0.1299157573
558	0.1298947634
559	0.1298731031
560	0.1298610907
561	0.1298568462
562	0.1298534096
563	0.1298296411
564	0.1298205551
565	0.1298025071
566	0.1297593808
567	0.1297382043
568	0.1296525368
569	0.1296353591
570	0.1296038829
571	0.1295848105
572	0.1295495464
573	0.12951516
574	0.129476934
575	0.1294712751
576	0.129463487
577	0.1294380214
578	0.1294269181
579	0.129390361
580	0.1293570442
581	0.1293437924
582	0.1293122542
583	0.129295139
584	0.129266478
585	0.1292416227
586	0.1292297677
587	0.1291640209
588	0.1291479745
589	0.129109075
590	0.1290658831
591	0.1289937898
592	0.128985424
593	0.1289530174
594	0.1289369975
595	0.128927752
596	0.128903624
597	0.1288486994
598	0.1288161025
599	0.1287499106
600	0.1287299406
601	0.128712911
602	0.128677689
603	0.1286504243
604	0.1286153164
605	0.1285652399
606	0.1285594819
607	0.1285001081
608	0.1284762851
609	0.1284387906
610	0.1284215126
611	0.1284011147
612	0.1283618899
613	0.1283160247
614	0.1282491389
615	0.1282466842
616	0.1281682781
617	0.1281404351
618	0.1281217796
619	0.1280552263
620	0.128023229
621	0.1279748164
622	0.1279487099
623	0.1279226179
624	0.1278586049
625	0.1278342891
626	0.127818888
627	0.12779426
628	0.1277707831
629	0.1277422544
630	0.1276691576
631	0.1276549813
632	0.1276003403
633	0.1275490381
634	0.1275125222
635	0.1274839735
636	0.1274623831
637	0.1274311005
638	0.1274120082
639	0.127378357
640	0.1273681676
641	0.1273432071
642	0.1273340528
643	0.1273003669
644	0.1272878824
645	0.1272713541
646	0.1272256085
647	0.1272217034
648	0.1272076578
649	0.1271796308
650	0.1271468857
651	0.1271397339
652	0.127101318
653	0.1270742707
654	0.1270678723
655	0.127010598
656	0.1269836383
657	0.1269661841
658	0.1269264859
659	0.1269017532
660	0.1268892194
661	0.126875865
662	0.1268479846
663	0.1268148214
664	0.1268071847
665	0.1268006818
666	0.1267824483
667	0.1267816548
668	0.1267511675
669	0.1267227881
670	0.1267041254
671	0.1266864544
672	0.1266649853
673	0.126609916
674	0.1265760663
675	0.1265605394
676	0.1265473157
677	0.1265254
678	0.1265000788
679	0.1264480145
680	0.1264383914
681	0.1263813262
682	0.126353923
683	0.126326286
684	0.1262923655
685	0.1262747088
686	0.1262590421
687	0.1262530744
688	0.12620864
689	0.1262056521
690	0.1261853671
691	0.1261840173
692	0.1261752793
693	0.1261463316
694	0.126138894
695	0.1261124087
696	0.1260878844
697	0.1260728343
698	0.1260647922
699	0.1260391569
