iter	Logloss
0	0.460496989
1	0.3311946561
2	0.2716571443
3	0.2377669745
4	0.2162771326
5	0.2005822781
6	0.1915538326
7	0.1847987748
8	0.1784218284
9	0.1752817553
10	0.1721892347
11	0.1699723804
12	0.1675914515
13	0.1662165426
14	0.1643432138
15	0.1625762206
16	0.160816023
17	0.1595556554
18	0.1587467233
19	0.1581173159
20	0.1571007946
21	0.1565293075
22	0.155977204
23	0.155418709
24	0.1545511661
25	0.1541714888
26	0.1539191459
27	0.1536333091
28	0.1533519441
29	0.1530452111
30	0.152772143
31	0.1524609037
32	0.1523049844
33	0.1520110453
34	0.151622638
35	0.1514516596
36	0.1512323393
37	0.1510688177
38	0.1509620291
39	0.1507589466
40	0.1506083844
41	0.1505293664
42	0.1503702434
43	0.1501613387
44	0.1500766397
45	0.1499935349
46	0.1498660854
47	0.149730025
48	0.1495624357
49	0.1494318244
50	0.1493725283
51	0.1493088055
52	0.1490980942
53	0.1490214233
54	0.1489345915
55	0.1488065013
56	0.1486717535
57	0.1485822498
58	0.1485601724
59	0.1484383471
60	0.148319846
61	0.1482280472
62	0.1481494136
63	0.1480891895
64	0.1480096866
65	0.1478047047
66	0.1477123516
67	0.1476564335
68	0.1475833768
69	0.1474925385
70	0.1474365319
71	0.1472964566
72	0.1472599327
73	0.1472287836
74	0.1471705612
75	0.1470873672
76	0.1470274709
77	0.146919517
78	0.1468559159
79	0.1468306194
80	0.1467820793
81	0.1467132143
82	0.1466626142
83	0.1465729866
84	0.1465686287
85	0.1464627139
86	0.1464009021
87	0.1463525651
88	0.1463358229
89	0.1462909344
90	0.1462514882
91	0.146236926
92	0.1461709551
93	0.1461051958
94	0.1460773275
95	0.1460082984
96	0.1459492496
97	0.145857343
98	0.1458549384
99	0.1458125834
100	0.1458099007
101	0.1457641607
102	0.1457327194
103	0.1456520481
104	0.1456227573
105	0.1455761316
106	0.1454804707
107	0.1454222525
108	0.1453598499
109	0.145293957
110	0.1452590059
111	0.1452571032
112	0.1451780932
113	0.1451492514
114	0.1451134631
115	0.1450673738
116	0.1450282198
117	0.1449842458
118	0.1449488236
119	0.1449172879
120	0.144845769
121	0.1447935166
122	0.144755688
123	0.1446931119
124	0.1446561788
125	0.1446512192
126	0.1446477139
127	0.1446139581
128	0.1445694915
129	0.1445060133
130	0.1444778223
131	0.1444568583
132	0.1443977071
133	0.1443509171
134	0.144283733
135	0.1442295836
136	0.1441442192
137	0.1441430876
138	0.1440401302
139	0.1440401152
140	0.1439860493
141	0.1439035302
142	0.1438784881
143	0.1438156418
144	0.1437752024
145	0.1436857472
146	0.1436634407
147	0.1436284458
148	0.1435398747
149	0.1434707734
150	0.1434468978
151	0.1433796881
152	0.1433653719
153	0.1433096552
154	0.1432403648
155	0.1431868565
156	0.1431722769
157	0.1431647896
158	0.1431067314
159	0.1430839701
160	0.1430730982
161	0.1430531542
162	0.1430298656
163	0.1429858821
164	0.1429484309
165	0.1428803421
166	0.1428499577
167	0.1428416375
168	0.1427769482
169	0.1427707321
170	0.1427055725
171	0.1426646355
172	0.1425891793
173	0.142549211
174	0.1425343621
175	0.1424682052
176	0.1424522518
177	0.1424518677
178	0.1423905761
179	0.1423782496
180	0.1423087081
181	0.1422459013
182	0.142168969
183	0.1421275811
184	0.1421148597
185	0.1420918549
186	0.1420720036
187	0.1420188368
188	0.1420058451
189	0.1419941259
190	0.1419544735
191	0.1419131975
192	0.1418753218
193	0.1418407562
194	0.1418260265
195	0.1417492374
196	0.1417353624
197	0.1417289885
198	0.1416682867
199	0.1416245284
200	0.1415841006
201	0.1415545852
202	0.1415317537
203	0.141485248
204	0.1414438546
205	0.1414399185
206	0.1414347685
207	0.1413730159
208	0.1413382773
209	0.1413299539
210	0.1412540683
211	0.1412190844
212	0.1412075688
213	0.1412025122
214	0.1411931377
215	0.141177963
216	0.1411547291
217	0.141070856
218	0.1410404461
219	0.1409835118
220	0.1409496003
221	0.1409068124
222	0.1408531222
223	0.140829763
224	0.1407876673
225	0.1407661757
226	0.1407191271
227	0.1406583461
228	0.1405975031
229	0.140564226
230	0.1405458909
231	0.1405208656
232	0.1404308707
233	0.1403976039
234	0.1403692937
235	0.1403147453
236	0.1402603321
237	0.1402083186
238	0.1401640011
239	0.1401100142
240	0.1400549646
241	0.1400299635
242	0.1400234956
243	0.140011509
244	0.1399041286
245	0.1398879441
246	0.1398529785
247	0.1398238143
248	0.1398005923
249	0.13979184
250	0.1397581962
251	0.1397480722
252	0.1397338891
253	0.1396851648
254	0.1396847141
255	0.1396610781
256	0.1396340428
257	0.1396283368
258	0.1395957469
259	0.1395934836
260	0.139535576
261	0.1395259949
262	0.1394498966
263	0.139400826
264	0.1393717928
265	0.1393661953
266	0.1393009069
267	0.1392477733
268	0.1391899966
269	0.1391490918
270	0.139115396
271	0.1390945704
272	0.1390597694
273	0.1389915741
274	0.1389683622
275	0.1388823565
276	0.1388525627
277	0.1387916881
278	0.1387499648
279	0.1387218785
280	0.1386921016
281	0.1386292789
282	0.138577208
283	0.1385253403
284	0.1384861475
285	0.1384699039
286	0.13844832
287	0.1384384761
288	0.1384352633
289	0.1384304521
290	0.1383668788
291	0.1383344395
292	0.1383284609
293	0.1382587009
294	0.1382508728
295	0.1382325218
296	0.1382312076
297	0.1381863799
298	0.138146318
299	0.1381130498
300	0.1381094046
301	0.1380945407
302	0.1380404241
303	0.1380192127
304	0.1379821615
305	0.1379598713
306	0.137949467
307	0.1379350485
308	0.1378714798
309	0.1377920393
310	0.1377498228
311	0.1377405329
312	0.137653875
313	0.1376165557
314	0.137611795
315	0.1375797678
316	0.1375574556
317	0.1375213125
318	0.137510669
319	0.1374994831
320	0.1374453994
321	0.1374199236
322	0.1373636069
323	0.1373472926
324	0.1373032871
325	0.1372661836
326	0.1372626558
327	0.1372230955
328	0.1372220102
329	0.1371795367
330	0.1371080598
331	0.137096911
332	0.13707772
333	0.1370344002
334	0.1369453631
335	0.1369182125
336	0.1368858363
337	0.1368487021
338	0.1368178476
339	0.1367737621
340	0.1367290746
341	0.1367161722
342	0.1366545057
343	0.1366199837
344	0.1365982804
345	0.1365943294
346	0.1365806328
347	0.1365385994
348	0.1364626892
349	0.1364428303
350	0.1364098222
351	0.1364086618
352	0.1363511344
353	0.1363316988
354	0.1363042637
355	0.1362768427
356	0.1362163259
357	0.1361948685
358	0.136144439
359	0.1361255161
360	0.1361027383
361	0.1360915919
362	0.1360582767
363	0.1360182141
364	0.1359748696
365	0.1359107248
366	0.135869916
367	0.1358301105
368	0.1357835258
369	0.1357560842
370	0.1357093167
371	0.1357075361
372	0.135667393
373	0.1356662172
374	0.1356495123
375	0.135608543
376	0.1355834624
377	0.1355084901
378	0.1354805948
379	0.1354348972
380	0.1354008148
381	0.1353826168
382	0.1353282914
383	0.1352996941
384	0.1352757275
385	0.1352496439
386	0.1352485575
387	0.1352286263
388	0.1351910663
389	0.1350943107
390	0.1350833663
391	0.1350692269
392	0.1350589688
393	0.1350295572
394	0.1350147199
395	0.1349765133
396	0.1349181855
397	0.1349135394
398	0.1348924125
399	0.1348827914
400	0.1348526739
401	0.1348261402
402	0.1347649
403	0.1347444612
404	0.1346996373
405	0.1346725125
406	0.1346347847
407	0.1345980434
408	0.1345817656
409	0.1345490098
410	0.1345269434
411	0.1345100718
412	0.1344684425
413	0.1344571388
414	0.1344560525
415	0.1344019926
416	0.1343843669
417	0.1343582909
418	0.1343129997
419	0.1342760806
420	0.134248224
421	0.1342222178
422	0.134211924
423	0.1341498026
424	0.1341432861
425	0.1341310641
426	0.1341093217
427	0.1340806234
428	0.1340690005
429	0.1340255002
430	0.1340142028
431	0.1339903631
432	0.1339828461
433	0.1339341876
434	0.1338425954
435	0.1338212431
436	0.1337955094
437	0.1337429263
438	0.1337149414
439	0.1336937218
440	0.1336185143
441	0.1336057547
442	0.1335486897
443	0.1335183271
444	0.1335112597
445	0.1334634987
446	0.1334299732
447	0.1334060443
448	0.1334014345
449	0.1333821216
450	0.1333664265
451	0.1332864244
452	0.1332452882
453	0.1332140403
454	0.1332033995
455	0.1331928653
456	0.133183783
457	0.1331573378
458	0.1331344669
459	0.1330984595
460	0.1330808452
461	0.1330621969
462	0.1330394612
463	0.1330109148
464	0.1330075422
465	0.1329960161
466	0.1329762328
467	0.1329697297
468	0.1329579673
469	0.132948504
470	0.1329031422
471	0.1328908191
472	0.1328630225
473	0.1328341575
474	0.1328095642
475	0.1327711064
476	0.1327460733
477	0.1326909928
478	0.1326652969
479	0.1326508266
480	0.1326381183
481	0.1326121596
482	0.1325999214
483	0.1325939599
484	0.1325410275
485	0.1325029635
486	0.1324897931
487	0.1324885263
488	0.1324395428
489	0.1324075355
490	0.1323632395
491	0.1323295551
492	0.1323090978
493	0.132276785
494	0.1322597749
495	0.1322363348
496	0.1322317114
497	0.1322120724
498	0.1321709574
499	0.1321545525
500	0.1321429795
501	0.1321006727
502	0.1320917702
503	0.1320697626
504	0.1320170547
505	0.131991027
506	0.1319329183
507	0.1319198033
508	0.1319110351
509	0.1319088843
510	0.1318911338
511	0.1318797616
512	0.1318630849
513	0.1318299099
514	0.1317944246
515	0.1317829326
516	0.1317582229
517	0.1317154041
518	0.1316584203
519	0.1315987398
520	0.1315804161
521	0.1315678744
522	0.1315038395
523	0.1314682927
524	0.131451366
525	0.1314485027
526	0.1314310814
527	0.1313826045
528	0.1313441574
529	0.1313115112
530	0.1312964062
531	0.131278181
532	0.1312469503
533	0.1312179839
534	0.1311797622
535	0.1311604793
536	0.131124551
537	0.1310973039
538	0.1310552384
539	0.1310445008
540	0.130980089
541	0.1309280665
