iter	Passed	Remaining
0	92	92549
1	184	91935
2	265	88278
3	350	87380
4	445	88717
5	536	88869
6	613	87021
7	722	89649
8	816	89898
9	898	88979
10	986	88692
11	1069	88093
12	1159	88022
13	1289	90815
14	1380	90675
15	1466	90170
16	1540	89102
17	1609	87813
18	1691	87351
19	1775	86990
20	1848	86178
21	1936	86083
22	2025	86056
23	2110	85827
24	2191	85477
25	2277	85306
26	2367	85302
27	2444	84844
28	2525	84564
29	2607	84311
30	2692	84146
31	2776	83992
32	2857	83737
33	2941	83559
34	3039	83797
35	3123	83627
36	3207	83489
37	3295	83434
38	3373	83129
39	3458	82999
40	3534	82663
41	3609	82321
42	3697	82301
43	3766	81842
44	3849	81688
45	3930	81507
46	4021	81533
47	4107	81463
48	4191	81353
49	4270	81140
50	4359	81123
51	4445	81041
52	4517	80722
53	4584	80313
54	4672	80273
55	4744	79976
56	4822	79785
57	4910	79756
58	5005	79830
59	5092	79775
60	5189	79891
61	5289	80027
62	5380	80022
63	5472	80033
64	5545	79763
65	5620	79534
66	5694	79298
67	5779	79219
68	5857	79037
69	5939	78905
70	6026	78849
71	6107	78715
72	6181	78495
73	6264	78389
74	6353	78354
75	6442	78332
76	6519	78153
77	6603	78057
78	6681	77896
79	6766	77813
80	6852	77743
81	6936	77654
82	7015	77511
83	7096	77390
84	7166	77143
85	7245	77002
86	7334	76966
87	7431	77017
88	7513	76908
89	7591	76756
90	7674	76661
91	7754	76530
92	7829	76362
93	7905	76197
94	7989	76115
95	8078	76071
96	8161	75982
97	8236	75808
98	8314	75669
99	8399	75593
100	8483	75508
101	8568	75435
102	8635	75203
103	8716	75095
104	8802	75028
105	8891	74993
106	8966	74828
107	9045	74707
108	9131	74643
109	9213	74549
110	9301	74494
111	9388	74435
112	9470	74340
113	9561	74307
114	9650	74269
115	9733	74178
116	9817	74091
117	9900	74001
118	9982	73902
119	10049	73697
120	10132	73608
121	10214	73510
122	10296	73416
123	10381	73337
124	10467	73272
125	10535	73080
126	10605	72904
127	10690	72831
128	10772	72731
129	10850	72614
130	10933	72525
131	11017	72451
132	11099	72358
133	11185	72287
134	11269	72209
135	11359	72167
136	11437	72049
137	11523	71981
138	11611	71925
139	11694	71837
140	11787	71809
141	11870	71723
142	11950	71616
143	12037	71558
144	12129	71522
145	12218	71468
146	12311	71440
147	12399	71383
148	12487	71323
149	12569	71225
150	12649	71120
151	12735	71053
152	12809	70910
153	12892	70823
154	12968	70700
155	13054	70627
156	13143	70570
157	13225	70479
158	13300	70351
159	13385	70272
160	13468	70184
161	13563	70161
162	13643	70060
163	13725	69964
164	13806	69869
165	13891	69794
166	13987	69772
167	14084	69750
168	14166	69660
169	14262	69635
170	14351	69575
171	14433	69482
172	14514	69385
173	14580	69216
174	14658	69102
175	14750	69057
176	14818	68903
177	14903	68821
178	14979	68706
179	15062	68616
180	15148	68547
181	15236	68478
182	15322	68405
183	15400	68298
184	15482	68208
185	15573	68156
186	15657	68071
187	15734	67958
188	15818	67879
189	15903	67798
190	15977	67675
191	16050	67547
192	16141	67494
193	16249	67510
194	16349	67493
195	16439	67435
196	16529	67378
197	16617	67309
198	16701	67223
199	16785	67140
200	16869	67056
201	16955	66983
202	17032	66869
203	17114	66780
204	17199	66701
205	17284	66621
206	17356	66492
207	17439	66405
208	17519	66305
209	17606	66234
210	17685	66133
211	17758	66007
212	17834	65895
213	17911	65786
214	17983	65658
215	18059	65550
216	18144	65472
217	18223	65370
218	18308	65292
219	18412	65282
220	18510	65247
221	18582	65121
222	18665	65034
223	18743	64931
224	18813	64803
225	18905	64747
226	18981	64636
227	19064	64552
228	19149	64473
229	19226	64367
230	19299	64247
231	19365	64107
232	19445	64012
233	19529	63928
234	19609	63834
235	19704	63790
236	19794	63726
237	19867	63608
238	19950	63523
239	20026	63416
240	20103	63314
241	20184	63224
242	20275	63161
243	20347	63042
244	20438	62984
245	20526	62914
246	20616	62852
247	20713	62809
248	20806	62754
249	20886	62660
250	20971	62579
251	21050	62482
252	21135	62404
253	21225	62338
254	21297	62222
255	21382	62142
256	21464	62056
257	21527	61913
258	21620	61856
259	21692	61740
260	21775	61656
261	21863	61585
262	21945	61498
263	22026	61407
264	22110	61326
265	22172	61182
266	22258	61105
267	22350	61046
268	22442	60987
269	22520	60889
270	22604	60805
271	22674	60687
272	22763	60617
273	22869	60596
274	22966	60549
275	23043	60448
276	23129	60370
277	23215	60292
278	23281	60165
279	23373	60102
280	23452	60007
281	23538	59930
282	23612	59823
283	23696	59741
284	23773	59641
285	23860	59567
286	23929	59448
287	24023	59390
288	24112	59321
289	24197	59243
290	24279	59154
291	24365	59078
292	24452	59004
293	24540	58929
294	24624	58848
295	24696	58737
296	24786	58670
297	24870	58588
298	24955	58507
299	25050	58450
300	25144	58392
301	25226	58305
302	25299	58197
303	25383	58114
304	25467	58033
305	25556	57962
306	25642	57884
307	25728	57805
308	25808	57713
309	25891	57628
310	25970	57536
311	26044	57431
312	26133	57359
313	26221	57285
314	26310	57214
315	26390	57123
316	26482	57058
317	26569	56983
318	26655	56903
319	26742	56826
320	26816	56724
321	26904	56650
322	26975	56539
323	27061	56462
324	27142	56372
325	27231	56299
326	27327	56242
327	27418	56174
328	27504	56096
329	27589	56015
330	27666	55918
331	27737	55808
332	27826	55736
333	27903	55639
334	27981	55546
335	28071	55474
336	28150	55382
337	28235	55302
338	28319	55219
339	28407	55143
340	28530	55137
341	28600	55027
342	28685	54946
343	28776	54876
344	28853	54779
345	28946	54713
346	29032	54635
347	29123	54563
348	29207	54480
349	29291	54398
350	29381	54325
351	29486	54282
352	29589	54232
353	29684	54169
354	29776	54101
355	29854	54007
356	29945	53935
357	30038	53867
358	30114	53770
359	30202	53693
360	30283	53604
361	30366	53518
362	30458	53448
363	30531	53345
364	30606	53246
365	30697	53175
366	30765	53063
367	30846	52975
368	30922	52878
369	31009	52799
370	31094	52718
371	31182	52640
372	31266	52557
373	31358	52487
374	31431	52386
375	31505	52285
376	31585	52195
377	31669	52111
378	31761	52042
379	31852	51969
380	31933	51881
381	32014	51793
382	32096	51706
383	32179	51621
384	32265	51541
385	32352	51462
386	32439	51384
387	32525	51303
388	32614	51228
389	32702	51149
390	32782	51059
391	32867	50978
392	32949	50891
393	33037	50814
394	33119	50727
395	33206	50648
396	33294	50570
397	33374	50481
398	33459	50398
399	33551	50326
400	33648	50262
401	33723	50166
402	33804	50077
403	33909	50024
404	34003	49955
405	34092	49879
406	34180	49801
407	34271	49727
408	34355	49642
409	34440	49561
410	34530	49485
411	34617	49405
412	34706	49328
413	34790	49244
414	34872	49157
415	34956	49073
416	35042	48992
417	35124	48904
418	35200	48810
419	35286	48728
420	35374	48649
421	35455	48562
422	35534	48471
423	35624	48395
424	35712	48316
425	35801	48240
426	35883	48153
427	35960	48059
428	36036	47965
429	36135	47900
430	36218	47815
431	36296	47723
432	36382	47641
433	36469	47561
434	36550	47473
435	36639	47395
436	36735	47327
437	36821	47245
438	36913	47172
439	36998	47089
440	37081	47002
441	37159	46912
442	37249	46835
443	37335	46753
444	37426	46677
445	37510	46593
446	37592	46506
447	37675	46421
448	37756	46333
449	37837	46246
450	37924	46165
451	38006	46078
452	38098	46004
453	38185	45923
454	38269	45839
455	38372	45778
456	38464	45702
457	38554	45625
458	38638	45541
459	38724	45459
460	38815	45383
461	38904	45304
462	38991	45223
463	39076	45139
464	39165	45061
465	39252	44980
466	39343	44904
467	39429	44821
468	39518	44743
469	39603	44658
470	39683	44569
471	39759	44476
472	39845	44394
473	39930	44311
474	40015	44228
475	40102	44146
476	40185	44060
477	40269	43976
478	40353	43891
479	40438	43808
480	40529	43731
481	40624	43658
482	40710	43576
483	40799	43497
484	40886	43415
485	40971	43332
486	41048	43240
487	41132	43155
488	41220	43075
489	41309	42995
490	41394	42912
491	41477	42825
492	41567	42748
493	41634	42645
494	41728	42571
495	41807	42482
496	41891	42397
497	41982	42320
498	42068	42237
499	42147	42147
500	42235	42067
501	42314	41977
502	42402	41897
503	42493	41819
504	42576	41733
505	42656	41645
506	42746	41566
507	42833	41484
508	42918	41400
509	42994	41308
510	43070	41216
511	43157	41134
512	43239	41047
513	43332	40971
514	43423	40893
515	43519	40821
516	43613	40744
517	43698	40661
518	43795	40589
519	43884	40509
520	43973	40428
521	44060	40346
522	44156	40272
523	44250	40196
524	44341	40118
525	44428	40036
526	44522	39960
527	44609	39878
528	44700	39799
529	44795	39724
530	44883	39643
531	44992	39579
532	45088	39505
533	45190	39436
534	45286	39360
535	45375	39280
536	45455	39191
537	45544	39110
538	45635	39031
539	45731	38956
540	45837	38889
541	45929	38811
542	46017	38729
543	46109	38650
544	46194	38566
545	46272	38475
546	46361	38394
547	46449	38312
548	46540	38232
549	46633	38154
550	46718	38069
551	46810	37991
552	46912	37920
553	47009	37845
554	47119	37780
555	47227	37713
556	47326	37640
557	47419	37561
558	47508	37479
559	47618	37414
560	47703	37329
561	47788	37244
562	47868	37155
563	47951	37068
564	48039	36985
565	48129	36904
566	48217	36821
567	48301	36736
568	48392	36655
569	48476	36569
570	48558	36482
571	48646	36400
572	48727	36311
573	48816	36229
574	48907	36149
575	48992	36063
576	49077	35978
577	49163	35894
578	49249	35809
579	49331	35723
580	49428	35646
581	49526	35570
582	49622	35493
583	49710	35410
584	49786	35318
585	49870	35232
586	49945	35140
587	50005	35038
588	50090	34952
589	50174	34866
590	50266	34786
591	50354	34704
592	50443	34621
593	50537	34542
594	50620	34456
595	50704	34370
596	50799	34291
597	50883	34205
598	50963	34117
599	51036	34024
600	51127	33943
601	51188	33842
602	51254	33744
603	51339	33659
604	51414	33568
605	51494	33480
606	51566	33386
607	51666	33311
608	51756	33229
609	51846	33147
610	51928	33060
611	52011	32974
612	52089	32885
613	52173	32799
614	52259	32715
615	52341	32628
616	52424	32542
617	52503	32453
618	52592	32371
619	52681	32288
620	52761	32200
621	52847	32116
622	52933	32031
623	53016	31945
624	53098	31858
625	53173	31768
626	53265	31687
627	53338	31595
628	53426	31512
629	53508	31425
630	53596	31342
631	53673	31252
632	53756	31166
633	53858	31091
634	53959	31015
635	54062	30941
636	54159	30863
637	54243	30777
638	54330	30693
639	54418	30610
640	54506	30527
641	54585	30438
642	54676	30356
643	54754	30267
644	54839	30182
645	54917	30094
646	55011	30013
647	55132	29948
648	55211	29860
649	55293	29773
650	55366	29681
651	55452	29597
652	55533	29510
653	55612	29421
654	55692	29334
655	55777	29249
656	55855	29160
657	55930	29070
658	56016	28985
659	56123	28911
660	56224	28835
661	56303	28747
662	56393	28664
663	56472	28576
664	56567	28496
665	56654	28412
666	56742	28328
667	56827	28243
668	56901	28153
669	56972	28060
670	57066	27980
671	57155	27897
672	57237	27810
673	57324	27726
674	57414	27644
675	57494	27556
676	57581	27472
677	57672	27390
678	57758	27305
679	57847	27222
680	57930	27136
681	58015	27051
682	58104	26968
683	58180	26878
684	58287	26803
685	58379	26721
686	58470	26639
687	58550	26551
688	58635	26466
689	58720	26381
690	58795	26292
691	58888	26210
692	58971	26124
693	59049	26036
694	59140	25953
695	59226	25869
696	59316	25785
697	59399	25700
698	59502	25622
699	59608	25546
700	59692	25460
701	59778	25376
702	59860	25289
703	59945	25204
704	60028	25118
705	60109	25031
706	60184	24942
707	60264	24854
708	60349	24769
709	60429	24682
710	60518	24599
711	60602	24513
712	60690	24429
713	60763	24339
714	60851	24255
715	60940	24171
716	61024	24086
717	61106	23999
718	61194	23916
719	61275	23829
720	61373	23749
721	61455	23662
722	61542	23578
723	61631	23494
724	61709	23407
725	61790	23320
726	61873	23234
727	61952	23146
728	62037	23061
729	62128	22978
730	62218	22895
731	62294	22807
732	62384	22723
733	62471	22639
734	62551	22552
735	62635	22467
736	62741	22389
737	62843	22310
738	62934	22227
739	63023	22143
740	63120	22062
741	63194	21973
742	63280	21888
743	63369	21804
744	63449	21717
745	63533	21632
746	63631	21551
747	63716	21466
748	63802	21381
749	63874	21291
750	63956	21205
751	64045	21121
752	64137	21038
753	64213	20950
754	64313	20869
755	64404	20786
756	64490	20701
757	64581	20618
758	64670	20534
759	64759	20450
760	64844	20365
761	64935	20281
762	65030	20199
763	65116	20114
764	65200	20028
765	65285	19943
766	65368	19857
767	65447	19770
768	65524	19682
769	65610	19598
770	65700	19514
771	65786	19429
772	65872	19344
773	65943	19254
774	66028	19169
775	66108	19082
776	66201	18999
777	66283	18913
778	66357	18825
779	66444	18740
780	66530	18655
781	66613	18570
782	66699	18485
783	66782	18399
784	66866	18313
785	66961	18231
786	67064	18150
787	67167	18070
788	67256	17986
789	67327	17897
790	67420	17814
791	67508	17729
792	67587	17642
793	67661	17554
794	67748	17469
795	67832	17384
796	67920	17299
797	68012	17216
798	68095	17130
799	68181	17045
800	68262	16959
801	68353	16875
802	68434	16789
803	68514	16702
804	68601	16617
805	68681	16531
806	68773	16447
807	68855	16361
808	68946	16277
809	69027	16191
810	69115	16107
811	69206	16023
812	69306	15941
813	69409	15860
814	69493	15774
815	69579	15689
816	69672	15605
817	69750	15519
818	69823	15431
819	69903	15344
820	69987	15259
821	70079	15175
822	70166	15090
823	70238	15002
824	70330	14918
825	70399	14829
826	70484	14744
827	70557	14656
828	70648	14572
829	70737	14488
830	70817	14402
831	70893	14315
832	70984	14230
833	71073	14146
834	71159	14061
835	71238	13974
836	71329	13890
837	71402	13803
838	71484	13717
839	71586	13635
840	71692	13554
841	71769	13467
842	71842	13379
843	71917	13292
844	72007	13208
845	72093	13123
846	72179	13038
847	72266	12953
848	72354	12868
849	72434	12782
850	72509	12695
851	72592	12609
852	72676	12524
853	72764	12439
854	72844	12353
855	72931	12268
856	73024	12184
857	73098	12097
858	73181	12012
859	73259	11925
860	73355	11842
861	73433	11756
862	73513	11670
863	73599	11585
864	73683	11499
865	73776	11415
