iter	Logloss
0	0.4599912556
1	0.3326940664
2	0.2723497994
3	0.2353744922
4	0.2182962925
5	0.2020280961
6	0.1929573855
7	0.1849988571
8	0.178595532
9	0.1751327768
10	0.1713264833
11	0.1688791442
12	0.1668586468
13	0.1654667111
14	0.163274116
15	0.1615753659
16	0.1605685436
17	0.1596803309
18	0.1588413771
19	0.158183832
20	0.1570662796
21	0.156537112
22	0.1557983041
23	0.1550425315
24	0.1546714557
25	0.1538618026
26	0.1534205183
27	0.1530557842
28	0.1527362918
29	0.1524554852
30	0.1521594409
31	0.1518883268
32	0.1516416284
33	0.151475256
34	0.1511826277
35	0.1509514966
36	0.15062941
37	0.1504580964
38	0.1503291955
39	0.1501785991
40	0.1500509688
41	0.1498064057
42	0.1496340572
43	0.1495463547
44	0.1494377284
45	0.1491997407
46	0.1491200199
47	0.1490075344
48	0.1488942296
49	0.1487835006
50	0.1485912604
51	0.1484890717
52	0.1484416525
53	0.1482857728
54	0.1481164581
55	0.14807144
56	0.1479986176
57	0.1479456874
58	0.1478558442
59	0.1477958521
60	0.1476824467
61	0.1475405595
62	0.1475144055
63	0.1474845336
64	0.147450475
65	0.1474205491
66	0.1473742029
67	0.1472651133
68	0.1472162292
69	0.1471460157
70	0.1470598796
71	0.1469793328
72	0.1468848929
73	0.146832838
74	0.1467684314
75	0.1466881523
76	0.1466218224
77	0.1465521541
78	0.1464989758
79	0.1463983695
80	0.1463015833
81	0.1461714761
82	0.1461510979
83	0.1460969993
84	0.14606076
85	0.1460351806
86	0.145990308
87	0.1459333914
88	0.1458655932
89	0.145773259
90	0.1456999211
91	0.1456036381
92	0.1455414163
93	0.145513603
94	0.1454590694
95	0.1453657231
96	0.145306669
97	0.1452988239
98	0.1452314319
99	0.1451552191
100	0.1450630301
101	0.1449938335
102	0.1449672916
103	0.144904647
104	0.1448426964
105	0.1447504564
106	0.1447286512
107	0.1446491063
108	0.1446109864
109	0.1445396764
110	0.144447412
111	0.1443815746
112	0.1443605798
113	0.1443111497
114	0.1442629965
115	0.1441945624
116	0.1441484495
117	0.1441226782
118	0.144035939
119	0.1440334955
120	0.1439719866
121	0.1439401618
122	0.1439101111
123	0.1439068531
124	0.1438895096
125	0.143865947
126	0.1438182051
127	0.1437823754
128	0.1437577512
129	0.1437352233
130	0.1436518209
131	0.1436029749
132	0.1435666701
133	0.1434884759
134	0.1434166712
135	0.1433421622
136	0.14331234
137	0.1432922989
138	0.1432637095
139	0.143225994
140	0.1431859251
141	0.1431604675
142	0.1431338154
143	0.1431099131
144	0.143059438
145	0.1430294127
146	0.1429782857
147	0.1428983452
148	0.1428145983
149	0.1427856848
150	0.142708665
151	0.1426566714
152	0.1426029807
153	0.142578978
154	0.142557018
155	0.1425156649
156	0.14247122
157	0.1424517861
158	0.142443286
159	0.1423878286
160	0.1423540045
161	0.1423273849
162	0.142291425
163	0.1422273911
164	0.1422048037
165	0.1421833501
166	0.1421367666
167	0.1421121277
168	0.1420611448
169	0.1420104594
170	0.141956907
171	0.1418821745
172	0.141813867
173	0.1417872436
174	0.1417684425
175	0.1417163769
176	0.1417123047
177	0.1416632077
178	0.1416394285
179	0.141569035
180	0.141519603
181	0.1415011225
182	0.141469141
183	0.1414256968
184	0.1414151908
185	0.141369308
186	0.141340406
187	0.1412923973
188	0.141217493
189	0.1411735303
190	0.1411553115
191	0.1410597788
192	0.1410130434
193	0.1409766748
194	0.1409331724
195	0.1408873013
196	0.140875812
197	0.1408383398
198	0.1407722051
199	0.1407305459
200	0.1407134947
201	0.1407001607
202	0.1406696887
203	0.1406341396
204	0.1405929314
205	0.1405539558
206	0.1405429713
207	0.1404946682
208	0.1404905212
209	0.1404600667
210	0.1404533005
211	0.1404241337
212	0.1403774787
213	0.1403682276
214	0.1403240582
215	0.1403027466
216	0.14026455
217	0.1401999746
218	0.1401769109
219	0.1401582501
220	0.1401339357
221	0.1401267676
222	0.1400548986
223	0.1400194118
224	0.1400153988
225	0.1399838647
226	0.1399741737
227	0.139919444
228	0.1398824851
229	0.1398688738
230	0.1398499838
231	0.1398470323
232	0.139831379
233	0.139792634
234	0.1397608325
235	0.1397431003
236	0.1397324456
237	0.139715296
238	0.139708459
239	0.1396587583
240	0.1396351481
241	0.139530513
242	0.1394949299
243	0.1394378921
244	0.1393767261
245	0.1393410844
246	0.1393009302
247	0.1392976453
248	0.1392413068
249	0.1392284764
250	0.1391789182
251	0.1391596741
252	0.1391427192
253	0.1391113794
254	0.1390601265
255	0.1390123938
256	0.1389372882
257	0.1389193126
258	0.1388654596
259	0.1388580514
260	0.1388496582
261	0.13883543
262	0.1387936689
263	0.1387424439
264	0.1387075866
265	0.1386964603
266	0.1386730035
267	0.1386480559
268	0.1386182402
269	0.1385964285
270	0.1385778782
271	0.1385589539
272	0.1385269565
273	0.1384911054
274	0.138457816
275	0.1384268693
276	0.1383708012
277	0.1383462388
278	0.1383264795
279	0.138291927
280	0.1382707955
281	0.1382133575
282	0.1382131271
283	0.1381644109
284	0.1381623711
285	0.1381403109
286	0.1380941941
287	0.1380574283
288	0.1380204162
289	0.1379730494
290	0.1379496621
291	0.1379294207
292	0.1379120268
293	0.137867258
294	0.1378617819
295	0.137853393
296	0.1378474071
297	0.1377986468
298	0.1377676333
299	0.137746898
300	0.1377175557
301	0.1376887438
302	0.1376655414
303	0.137627047
304	0.1376199787
305	0.1375952813
306	0.1375777922
307	0.1375247973
308	0.1374884626
309	0.1374292428
310	0.1374266521
311	0.1374119423
312	0.1373950804
313	0.1373585492
314	0.1373427797
315	0.137331855
316	0.1372959954
317	0.1372856599
318	0.1372642135
319	0.1372136452
320	0.137198886
321	0.1371886619
322	0.1371850824
323	0.1371257898
324	0.1371121528
325	0.1370964146
326	0.1370613132
327	0.1369862289
328	0.1369311199
329	0.1368998958
330	0.1368663031
331	0.1368658206
332	0.1368488059
333	0.1367820549
334	0.1367496224
335	0.1367191888
336	0.1366996319
337	0.1366355196
338	0.1366321176
339	0.1365923416
340	0.1365437115
341	0.1365419421
342	0.1365032984
343	0.1364609483
344	0.1364609108
345	0.136438378
346	0.136429001
347	0.1363865281
348	0.1363794806
349	0.1363579228
350	0.1363456037
351	0.1363114889
352	0.1362933736
