Data set,Random Forest,Logistic Regression,SVC
1,0.5575 (3),0.0277 (1),0.1898 (2)
2,0.5722 (3),0.017 (1),0.1445 (2)
3,0.5341 (3),0.017 (1),0.1425 (2)
4,0.5481 (3),0.015 (1),0.1583 (2)
5,0.5343 (3),0.0156 (1),0.1586 (2)
6,0.5366 (3),0.0173 (1),0.151 (2)
7,0.5405 (3),0.015 (1),0.1504 (2)
8,0.5422 (3),0.014 (1),0.1601 (2)
9,0.5321 (3),0.0143 (1),0.1505 (2)
10,0.5391 (3),0.014 (1),0.1415 (2)
avg rank,3.0,1.0,2.0
