iter	Passed	Remaining
0	81	81270
1	166	83088
2	240	80077
3	314	78329
4	392	78054
5	472	78255
6	553	78492
7	629	78018
8	701	77188
9	776	76918
10	854	76843
11	931	76734
12	1024	77772
13	1104	77779
14	1181	77555
15	1257	77311
16	1371	79311
17	1444	78782
18	1522	78627
19	1596	78227
20	1678	78251
21	1754	78001
22	1840	78197
23	1912	77782
24	1985	77439
25	2059	77156
26	2135	76944
27	2208	76681
28	2290	76696
29	2371	76678
30	2450	76607
31	2530	76561
32	2600	76211
33	2675	76008
34	2738	75504
35	2809	75221
36	2886	75127
37	2964	75049
38	3039	74891
39	3110	74663
40	3196	74765
41	3272	74645
42	3358	74741
43	3432	74581
44	3513	74559
45	3589	74435
46	3660	74226
47	3736	74104
48	3814	74027
49	3884	73796
50	3962	73726
51	4037	73610
52	4114	73518
53	4186	73346
54	4259	73180
55	4331	73010
56	4404	72868
57	4481	72786
58	4558	72705
59	4629	72529
60	4657	71694
61	4686	70899
62	4753	70695
63	4829	70634
64	4906	70580
65	4978	70457
66	5053	70365
67	5122	70208
68	5199	70153
69	5277	70119
70	5341	69887
71	5424	69912
72	5512	70006
73	5583	69866
74	5646	69641
75	5718	69527
76	5799	69518
77	5874	69440
78	5949	69356
79	6013	69157
80	6097	69181
81	6166	69030
82	6238	68929
83	6310	68813
84	6370	68574
85	6437	68417
86	6516	68388
87	6587	68272
88	6656	68139
89	6733	68083
90	6803	67955
91	6876	67871
92	6932	67613
93	7008	67550
94	7080	67446
95	7152	67348
96	7213	67154
97	7295	67150
98	7373	67103
99	7448	67038
100	7530	67028
101	7617	67065
102	7687	66948
103	7770	66950
104	7853	66937
105	7925	66846
106	8004	66805
107	8083	66761
108	8154	66656
109	8225	66552
110	8298	66460
111	8372	66383
112	8451	66338
113	8525	66261
114	8601	66197
115	8679	66146
116	8761	66121
117	8836	66045
118	8918	66028
119	8997	65980
120	9071	65897
121	9133	65729
122	9210	65673
123	9284	65589
124	9352	65466
125	9420	65342
126	9501	65314
127	9560	65128
128	9637	65072
129	9720	65054
130	9800	65012
131	9897	65083
132	9983	65079
133	10056	64994
134	10135	64943
135	10211	64871
136	10287	64806
137	10365	64746
138	10424	64570
139	10493	64457
140	10570	64399
141	10643	64313
142	10695	64100
143	10768	64015
144	10848	63970
145	10923	63893
146	11001	63839
147	11072	63739
148	11148	63674
149	11228	63628
150	11299	63530
151	11369	63431
152	11426	63253
153	11514	63257
154	11588	63175
155	11657	63068
156	11733	63002
157	11791	62835
158	11865	62761
159	11931	62640
160	12015	62614
161	12090	62544
162	12176	62528
163	12252	62458
164	12327	62384
165	12404	62322
166	12472	62213
167	12543	62118
168	12619	62052
169	12675	61887
170	12739	61762
171	12806	61648
172	12868	61514
173	12946	61456
174	13023	61394
175	13099	61329
176	13174	61258
177	13248	61179
178	13307	61034
179	13388	60992
180	13467	60937
181	13542	60866
182	13622	60819
183	13695	60735
184	13771	60667
185	13848	60603
186	13912	60487
187	13995	60446
188	14067	60365
189	14142	60291
190	14233	60288
191	14323	60279
192	14404	60229
193	14481	60163
194	14555	60088
195	14632	60021
196	14708	59952
197	14788	59901
198	14870	59854
199	14951	59804
200	15030	59747
201	15106	59679
202	15179	59597
203	15253	59519
204	15330	59453
205	15406	59382
206	15491	59346
207	15572	59294
208	15650	59233
209	15729	59171
210	15812	59129
211	15885	59046
212	15960	58972
213	16038	58906
214	16114	58837
215	16195	58783
216	16271	58712
217	16351	58654
218	16442	58635
219	16528	58600
220	16604	58530
221	16681	58459
222	16753	58373
223	16827	58293
224	16902	58219
225	16975	58136
226	17044	58041
227	17114	57948
228	17194	57889
229	17263	57794
230	17338	57720
231	17410	57636
232	17486	57563
233	17564	57496
234	17642	57432
235	17719	57361
236	17798	57299
237	17870	57215
238	17937	57114
239	18022	57072
240	18094	56987
241	18167	56903
242	18247	56844
243	18323	56774
244	18395	56687
245	18475	56628
246	18547	56543
247	18637	56513
248	18729	56488
249	18802	56406
250	18880	56340
251	18951	56251
252	19013	56139
253	19093	56076
